YEAR,MONTH,STATNAME,STATCD,DISTNAME,DISTCD,EVENT_NAME,EVENT_CODE
2013,1,ANDHRA PRADESH,28,PRAKASAM,2818,poverty,1
2013,8,ASSAM,18,UDALGURI,1826,education,3
2013,9,PUNJAB,3,HOSHIARPUR,305,education,3
2013,8,TELANGANA,36,NALGONDA,3608,education,3
2013,4,KARNATAKA,29,KODAGU,2925,donations,4
2013,4,HIMACHAL PRADESH,2,KANGRA,202,donations,4
2013,5,SIKKIM,11,NORTH SIKKIM,1101,health_care,2
2013,9,MIZORAM,15,LAWNGTLAI,1507,donations,4
2013,11,ASSAM,18,DARRANG,1808,poverty,1
2013,9,LAKSHADWEEP,31,LAKSHADWEEP,3101,education,3
2013,10,JHARKHAND,20,CHATRA,2003,donations,4
2013,9,RAJASTHAN,8,BANSWARA,828,education,3
2013,9,KERALA,32,PATHANAMTHITTA,3212,poverty,1
2013,5,TRIPURA,16,NORTH TRIPURA,1604,education,3
2013,5,GOA,30,NORTH GOA,3001,donations,4
2013,1,ASSAM,18,UDALGURI,1826,donations,4
2013,7,PUNJAB,3,RUPNAGAR,307,health_care,2
2013,12,ASSAM,18,UDALGURI,1826,health_care,2
2013,8,MADHYA PRADESH,23,ALIRAJPUR,2349,donations,4
2013,4,CHHATTISGARH,22,SURGUJA,2202,education,3
2013,8,CHHATTISGARH,22,KANKER,2214,health_care,2
2013,6,HIMACHAL PRADESH,2,KANGRA,202,donations,4
2013,10,DAMAN & DIU,25,DIU,2501,health_care,2
2013,8,MEGHALAYA,17,JAINTIA HILLS,1707,education,3
2013,7,JAMMU & KASHMIR,1,RAMBAN,118,poverty,1
2013,10,ASSAM,18,DARRANG,1808,health_care,2
2013,6,WEST BENGAL,19,KOCH BIHAR,1903,education,3
2013,9,KARNATAKA,29,KOPPAL,2907,health_care,2
2013,6,KERALA,32,IDUKKI,3209,donations,4
2013,3,LAKSHADWEEP,31,LAKSHADWEEP,3101,poverty,1
2013,7,ODISHA,21,NUAPADA,2125,health_care,2
2013,7,TAMIL NADU,33,VILUPPURAM,3307,poverty,1
2013,12,ODISHA,21,KENDRAPARA,2110,poverty,1
2013,3,MAHARASHTRA,27,MUMBAI II,2723,donations,4
2013,11,ODISHA,21,KENDRAPARA,2110,health_care,2
2013,11,KARNATAKA,29,KOPPAL,2907,health_care,2
2013,12,ASSAM,18,BAKSA,1824,education,3
2013,7,HARYANA,6,FATEHABAD,610,donations,4
2013,8,RAJASTHAN,8,BANSWARA,828,education,3
2013,1,WEST BENGAL,19,PASCHIM MEDINIPUR,1920,health_care,2
2013,11,JAMMU & KASHMIR,1,SHOPIAN,115,poverty,1
2013,2,JHARKHAND,20,CHATRA,2003,poverty,1
2013,2,MIZORAM,15,MAMIT,1501,health_care,2
2013,8,DAMAN & DIU,25,DIU,2501,education,3
2013,9,CHHATTISGARH,22,SURGUJA,2202,education,3
2013,12,WEST BENGAL,19,PASCHIM MEDINIPUR,1920,health_care,2
2013,7,ASSAM,18,DARRANG,1808,poverty,1
2013,4,MIZORAM,15,LAWNGTLAI,1507,poverty,1
2013,9,KARNATAKA,29,KOPPAL,2907,poverty,1
2013,9,WEST BENGAL,19,BANKURA,1913,poverty,1
2013,7,HARYANA,6,MAHENDRAGARH,616,health_care,2
2013,7,JHARKHAND,20,CHATRA,2003,donations,4
2013,8,MANIPUR,14,SENAPATI,1401,poverty,1
2013,11,A & N ISLANDS,35,MIDDLE AND NORTH ANDAMANS,3503,health_care,2
2013,5,SIKKIM,11,WEST SIKKIM,1102,poverty,1
2013,11,HIMACHAL PRADESH,2,KANGRA,202,health_care,2
2013,6,MADHYA PRADESH,23,DINDORI,2341,poverty,1
2013,7,MIZORAM,15,CHAMPHAI,1504,education,3
2013,6,MADHYA PRADESH,23,SIDHI,2317,health_care,2
2013,8,TELANGANA,36,NALGONDA,3608,donations,4
2013,12,BIHAR,10,BANKA,1023,poverty,1
2013,12,GUJARAT,24,VALSAD,2425,education,3
2013,7,ANDHRA PRADESH,28,WEST GODAVARI,2815,donations,4
2013,7,MEGHALAYA,17,SOUTH GARO HILLS,1703,donations,4
2013,5,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215,health_care,2
2013,2,ASSAM,18,BAKSA,1824,education,3
2013,3,UTTARAKHAND,5,UTTARKASHI,501,donations,4
2013,10,NAGALAND,13,MON,1301,donations,4
2013,7,ASSAM,18,BAKSA,1824,donations,4
2013,4,MAHARASHTRA,27,GADCHIROLI,2712,poverty,1
2013,12,KARNATAKA,29,KODAGU,2925,donations,4
2013,12,PUDUCHERRY,34,YANAM,3401,poverty,1
2013,4,TRIPURA,16,DHALAI,1603,poverty,1
2013,1,DAMAN & DIU,25,DAMAN,2502,health_care,2
2013,7,KARNATAKA,29,KODAGU,2925,education,3
2013,6,PUDUCHERRY,34,KARAIKAL,3404,education,3
2013,12,KARNATAKA,29,KOPPAL,2907,health_care,2
2013,3,GOA,30,NORTH GOA,3001,health_care,2
2013,10,JHARKHAND,20,GODDA,2008,donations,4
2013,4,ASSAM,18,DARRANG,1808,donations,4
2013,11,TRIPURA,16,SOUTH TRIPURA,1602,health_care,2
2013,7,JAMMU & KASHMIR,1,RAMBAN,118,donations,4
2013,4,TRIPURA,16,SOUTH TRIPURA,1602,health_care,2
2013,9,RAJASTHAN,8,DUNGARPUR,827,donations,4
2013,8,UTTAR PRADESH,9,SHRAWASTI,951,poverty,1
2013,9,SIKKIM,11,NORTH SIKKIM,1101,donations,4
2013,9,CHHATTISGARH,22,SURGUJA,2202,health_care,2
2013,7,UTTARAKHAND,5,RUDRAPRAYAG,503,poverty,1
2013,8,HIMACHAL PRADESH,2,KANGRA,202,poverty,1
2013,7,UTTAR PRADESH,9,KUSHINAGAR,959,poverty,1
2013,11,WEST BENGAL,19,PASCHIM MEDINIPUR,1920,donations,4
2013,7,WEST BENGAL,19,BANKURA,1913,health_care,2
2013,8,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215,health_care,2
2013,2,JAMMU & KASHMIR,1,SHOPIAN,115,poverty,1
2013,11,WEST BENGAL,19,KOCH BIHAR,1903,poverty,1
2013,9,TRIPURA,16,DHALAI,1603,poverty,1
2013,12,ANDHRA PRADESH,28,SRIKAKULAM,2811,donations,4
2013,3,LAKSHADWEEP,31,LAKSHADWEEP,3101,donations,4
2013,7,KARNATAKA,29,KOPPAL,2907,education,3
2013,10,MEGHALAYA,17,SOUTH GARO HILLS,1703,donations,4
2013,4,LAKSHADWEEP,31,LAKSHADWEEP,3101,poverty,1
2013,7,CHHATTISGARH,22,SURGUJA,2202,poverty,1
2013,1,KERALA,32,WAYANAD,3203,education,3
2013,8,DAMAN & DIU,25,DAMAN,2502,education,3
2013,3,HIMACHAL PRADESH,2,KANGRA,202,health_care,2
2013,2,BIHAR,10,SAMASTIPUR,1019,donations,4
2013,6,HIMACHAL PRADESH,2,BILASPUR (H.P.),208,health_care,2
2013,11,WEST BENGAL,19,PASCHIM MEDINIPUR,1920,poverty,1
2013,6,ASSAM,18,UDALGURI,1826,poverty,1
2013,9,RAJASTHAN,8,DUNGARPUR,827,health_care,2
2013,1,ARUNACHAL PRADESH,12,Anjaw,1216,poverty,1
2013,6,GOA,30,SOUTH GOA,3002,donations,4
2013,10,ARUNACHAL PRADESH,12,WEST KAMENG,1202,health_care,2
2013,12,A & N ISLANDS,35,MIDDLE AND NORTH ANDAMANS,3503,health_care,2
2013,6,WEST BENGAL,19,BANKURA,1913,health_care,2
2013,2,A & N ISLANDS,35,MIDDLE AND NORTH ANDAMANS,3503,health_care,2
2013,3,SIKKIM,11,NORTH SIKKIM,1101,donations,4
2013,12,BIHAR,10,MADHUBANI,1005,poverty,1
2013,6,GOA,30,NORTH GOA,3001,education,3
2013,7,SIKKIM,11,NORTH SIKKIM,1101,poverty,1
2013,3,RAJASTHAN,8,BARMER,817,poverty,1
2013,6,JAMMU & KASHMIR,1,SHOPIAN,115,poverty,1
2013,9,HIMACHAL PRADESH,2,BILASPUR (H.P.),208,education,3
2013,9,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215,health_care,2
2013,10,MEGHALAYA,17,JAINTIA HILLS,1707,donations,4
2013,11,JHARKHAND,20,GARHWA,2001,poverty,1
2013,12,ARUNACHAL PRADESH,12,Anjaw,1216,health_care,2
2013,11,TAMIL NADU,33,VILUPPURAM,3307,health_care,2
2013,12,WEST BENGAL,19,KOCH BIHAR,1903,donations,4
2013,6,TAMIL NADU,33,VILUPPURAM,3307,donations,4
2013,8,MAHARASHTRA,27,MUMBAI II,2723,health_care,2
2013,6,MEGHALAYA,17,RI BHOI,1705,donations,4
2013,12,MEGHALAYA,17,SOUTH GARO HILLS,1703,health_care,2
2013,3,DAMAN & DIU,25,DIU,2501,donations,4
