YEAR,MONTH,STATNAME,STATCD,DISTNAME,DISTCD
2014,10,MAHARASHTRA,27,MUMBAI (SUBURBAN),2722
2014,3,KERALA,32,WAYANAD,3203
2014,1,MEGHALAYA,17,SOUTH GARO HILLS,1703
2014,12,BIHAR,10,BANKA,1023
2014,7,MANIPUR,14,TAMENGLONG,1402
2014,11,ODISHA,21,BOUDH,2122
2014,11,HIMACHAL PRADESH,2,KANGRA,202
2014,10,MAHARASHTRA,27,MUMBAI (SUBURBAN),2722
2014,4,JAMMU & KASHMIR,1,KISHTWAR,117
2014,7,MIZORAM,15,CHAMPHAI,1504
2014,9,HARYANA,6,MAHENDRAGARH,616
2014,7,HARYANA,6,FATEHABAD,610
2014,9,JAMMU & KASHMIR,1,KISHTWAR,117
2014,1,WEST BENGAL,19,PASCHIM MEDINIPUR,1920
2014,9,GOA,30,NORTH GOA,3001
2014,4,MADHYA PRADESH,23,DINDORI,2341
2014,9,TRIPURA,16,SOUTH TRIPURA,1602
2014,7,MEGHALAYA,17,RI BHOI,1705
2014,12,KERALA,32,IDUKKI,3209
2014,3,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215
2014,4,A & N ISLANDS,35,MIDDLE AND NORTH ANDAMANS,3503
2014,11,ODISHA,21,KENDRAPARA,2110
2014,8,PUDUCHERRY,34,PONDICHERRY,3402
2014,8,WEST BENGAL,19,KOCH BIHAR,1903
2014,7,DAMAN & DIU,25,DAMAN,2502
2014,5,ODISHA,21,NUAPADA,2125
2014,11,MIZORAM,15,LAWNGTLAI,1507
2014,10,HIMACHAL PRADESH,2,KANGRA,202
2014,7,SIKKIM,11,NORTH SIKKIM,1101
2014,2,KERALA,32,WAYANAD,3203
2014,9,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215
2014,1,KARNATAKA,29,MANDYA,2922
2014,3,A & N ISLANDS,35,NICOBARS,3502
2014,9,ANDHRA PRADESH,28,PRAKASAM,2818
2014,9,MANIPUR,14,SENAPATI,1401
2014,7,PUDUCHERRY,34,YANAM,3401
2014,7,UTTAR PRADESH,9,KUSHINAGAR,959
2014,6,JAMMU & KASHMIR,1,KISHTWAR,117
2014,1,HIMACHAL PRADESH,2,MANDI,205
2014,7,DAMAN & DIU,25,DIU,2501
2014,4,MEGHALAYA,17,JAINTIA HILLS,1707
2014,6,TRIPURA,16,SOUTH TRIPURA,1602
2014,11,A & N ISLANDS,35,NICOBARS,3502
2014,4,DELHI,7,NORTH DELHI,702
2014,12,MADHYA PRADESH,23,SIDHI,2317
2014,8,KERALA,32,IDUKKI,3209
2014,12,RAJASTHAN,8,DUNGARPUR,827
2014,10,A & N ISLANDS,35,ANDAMANS,3501
2014,8,MADHYA PRADESH,23,SIDHI,2317
2014,3,JHARKHAND,20,CHATRA,2003
2014,11,NAGALAND,13,KIPHIRE,1310
2014,8,A & N ISLANDS,35,NICOBARS,3502
2014,12,ASSAM,18,UDALGURI,1826
2014,6,UTTAR PRADESH,9,SHRAWASTI,951
2014,6,TRIPURA,16,DHALAI,1603
2014,9,NAGALAND,13,MON,1301
2014,4,UTTARAKHAND,5,RUDRAPRAYAG,503
2014,3,A & N ISLANDS,35,ANDAMANS,3501
2014,7,A & N ISLANDS,35,ANDAMANS,3501
2014,9,MAHARASHTRA,27,GADCHIROLI,2712
2014,3,TRIPURA,16,DHALAI,1603
2014,12,KERALA,32,IDUKKI,3209
2014,6,DELHI,7,NORTH DELHI,702
2014,7,HARYANA,6,MEWAT,620
2014,1,MAHARASHTRA,27,MUMBAI (SUBURBAN),2722
2014,6,TAMIL NADU,33,PERAMBALUR,3316
2014,2,HARYANA,6,MEWAT,620
2014,8,MADHYA PRADESH,23,ALIRAJPUR,2349
2014,7,ASSAM,18,DARRANG,1808
2014,12,WEST BENGAL,19,BANKURA,1913
2014,2,NAGALAND,13,PHEK,1308
2014,5,KARNATAKA,29,MANDYA,2922
2014,8,UTTARAKHAND,5,UTTARKASHI,501
2014,4,JAMMU & KASHMIR,1,RAMBAN,118
2014,6,MANIPUR,14,SENAPATI,1401
2014,6,DELHI,7,CENTRAL DELHI,706
2014,7,KERALA,32,WAYANAD,3203
2014,3,TRIPURA,16,SOUTH TRIPURA,1602
2014,5,A & N ISLANDS,35,NICOBARS,3502
2014,7,DELHI,7,NEW DELHI,705
2014,1,SIKKIM,11,NORTH SIKKIM,1101
2014,6,MEGHALAYA,17,JAINTIA HILLS,1707
2014,2,WEST BENGAL,19,KOCH BIHAR,1903
2014,4,MEGHALAYA,17,SOUTH GARO HILLS,1703
2014,8,ARUNACHAL PRADESH,12,WEST KAMENG,1202
2014,4,PUDUCHERRY,34,YANAM,3401
2014,2,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215
2014,7,MANIPUR,14,TAMENGLONG,1402
2014,1,RAJASTHAN,8,BANSWARA,828
2014,6,JHARKHAND,20,CHATRA,2003
2014,8,JHARKHAND,20,CHATRA,2003
2014,3,TAMIL NADU,33,PERAMBALUR,3316
2014,11,JAMMU & KASHMIR,1,RAMBAN,118
2014,2,UTTAR PRADESH,9,SHRAWASTI,951
2014,11,CHANDIGARH,4,CHANDIGARH,401
2014,1,TAMIL NADU,33,PERAMBALUR,3316
2014,8,GUJARAT,24,PANCH MAHALS,2417
2014,5,MIZORAM,15,CHAMPHAI,1504
2014,9,RAJASTHAN,8,BARMER,817
2014,6,HARYANA,6,FATEHABAD,610
2014,9,KERALA,32,WAYANAD,3203
2014,3,HIMACHAL PRADESH,2,KANGRA,202
2014,8,ANDHRA PRADESH,28,SRIKAKULAM,2811
2014,4,DELHI,7,CENTRAL DELHI,706
2014,3,ODISHA,21,BOUDH,2122
2014,1,DAMAN & DIU,25,DAMAN,2502
2014,1,KERALA,32,IDUKKI,3209
2014,2,MANIPUR,14,TAMENGLONG,1402
2014,6,ASSAM,18,DARRANG,1808
2014,2,A & N ISLANDS,35,ANDAMANS,3501
2014,10,UTTARAKHAND,5,UTTARKASHI,501
2014,11,MIZORAM,15,LAWNGTLAI,1507
2014,1,WEST BENGAL,19,BANKURA,1913
2014,2,JAMMU & KASHMIR,1,RAMBAN,118
2014,12,UTTARAKHAND,5,BAGESHWAR,508
2014,10,SIKKIM,11,WEST SIKKIM,1102
2014,5,DADRA & NAGAR HAVELI,26,DADRA AND NAGAR HAVELI(UT),2601
2014,2,TAMIL NADU,33,DHARMAPURI,3305
2014,9,UTTARAKHAND,5,BAGESHWAR,508
2014,4,A & N ISLANDS,35,NICOBARS,3502
2014,7,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215
2014,4,NAGALAND,13,PHEK,1308
2014,11,A & N ISLANDS,35,NICOBARS,3502
2014,11,MADHYA PRADESH,23,ALIRAJPUR,2349
2014,12,UTTARAKHAND,5,UTTARKASHI,501
2014,10,TRIPURA,16,SOUTH TRIPURA,1602
2014,4,A & N ISLANDS,35,NICOBARS,3502
2014,4,RAJASTHAN,8,BARMER,817
2014,3,CHHATTISGARH,22,KANKER,2214
2014,9,CHHATTISGARH,22,JASHPUR,2203
2014,2,GOA,30,SOUTH GOA,3002
2014,8,TRIPURA,16,NORTH TRIPURA,1604
2014,6,HARYANA,6,MEWAT,620
2014,9,KARNATAKA,29,KODAGU,2925
2014,10,JAMMU & KASHMIR,1,RAMBAN,118
2014,11,HARYANA,6,MEWAT,620
2014,2,SIKKIM,11,NORTH SIKKIM,1101
