YEAR,MONTH,STATNAME,STATCD,DISTNAME,DISTCD,EVENT_NAME,EVENT_CODE
2010,5,UTTAR PRADESH,9,KUSHINAGAR,959,donations,4
2010,7,CHANDIGARH,4,CHANDIGARH,401,health_care,2
2010,6,JHARKHAND,20,GODDA,2008,health_care,2
2010,3,MADHYA PRADESH,23,SIDHI,2317,health_care,2
2010,2,MADHYA PRADESH,23,ALIRAJPUR,2349,donations,4
2010,3,JAMMU & KASHMIR,1,KISHTWAR,117,donations,4
2010,9,BIHAR,10,SAMASTIPUR,1019,poverty,1
2010,5,WEST BENGAL,19,KOCH BIHAR,1903,poverty,1
2010,3,UTTAR PRADESH,9,MAHARAJGANJ,957,education,3
2010,10,DELHI,7,NORTH DELHI,702,poverty,1
2010,4,RAJASTHAN,8,BANSWARA,828,health_care,2
2010,8,KERALA,32,PATHANAMTHITTA,3212,health_care,2
2010,4,WEST BENGAL,19,PASCHIM MEDINIPUR,1920,health_care,2
2010,12,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215,poverty,1
2010,10,TAMIL NADU,33,PERAMBALUR,3316,poverty,1
2010,7,NAGALAND,13,KIPHIRE,1310,poverty,1
2010,12,HARYANA,6,MAHENDRAGARH,616,donations,4
2010,9,WEST BENGAL,19,BANKURA,1913,health_care,2
2010,2,JHARKHAND,20,CHATRA,2003,poverty,1
2010,7,A & N ISLANDS,35,ANDAMANS,3501,poverty,1
2010,4,RAJASTHAN,8,BANSWARA,828,health_care,2
2010,4,MEGHALAYA,17,RI BHOI,1705,poverty,1
2010,6,TAMIL NADU,33,DHARMAPURI,3305,donations,4
2010,7,SIKKIM,11,NORTH SIKKIM,1101,donations,4
2010,4,ANDHRA PRADESH,28,PRAKASAM,2818,donations,4
2010,6,ANDHRA PRADESH,28,SRIKAKULAM,2811,health_care,2
2010,9,CHHATTISGARH,22,SURGUJA,2202,health_care,2
2010,5,KARNATAKA,29,MANDYA,2922,health_care,2
2010,11,MAHARASHTRA,27,MUMBAI II,2723,donations,4
2010,4,GUJARAT,24,PANCH MAHALS,2417,education,3
2010,6,RAJASTHAN,8,BARMER,817,poverty,1
2010,8,CHHATTISGARH,22,KANKER,2214,health_care,2
2010,12,MADHYA PRADESH,23,SIDHI,2317,poverty,1
2010,4,GOA,30,SOUTH GOA,3002,education,3
2010,4,PUDUCHERRY,34,YANAM,3401,education,3
2010,10,RAJASTHAN,8,BANSWARA,828,poverty,1
2010,8,RAJASTHAN,8,BARMER,817,health_care,2
2010,8,HARYANA,6,FATEHABAD,610,donations,4
2010,3,HIMACHAL PRADESH,2,BILASPUR (H.P.),208,donations,4
2010,8,A & N ISLANDS,35,ANDAMANS,3501,education,3
2010,2,A & N ISLANDS,35,ANDAMANS,3501,health_care,2
2010,10,BIHAR,10,MADHUBANI,1005,health_care,2
2010,1,PUNJAB,3,RUPNAGAR,307,donations,4
2010,12,DADRA & NAGAR HAVELI,26,DADRA AND NAGAR HAVELI(UT),2601,poverty,1
2010,9,CHHATTISGARH,22,KANKER,2214,education,3
2010,5,DAMAN & DIU,25,DIU,2501,poverty,1
2010,10,A & N ISLANDS,35,ANDAMANS,3501,education,3
2010,9,HARYANA,6,MEWAT,620,poverty,1
2010,3,UTTAR PRADESH,9,KUSHINAGAR,959,poverty,1
2010,11,BIHAR,10,BANKA,1023,donations,4
2010,8,ODISHA,21,KENDRAPARA,2110,poverty,1
2010,8,GOA,30,NORTH GOA,3001,poverty,1
2010,12,BIHAR,10,BANKA,1023,education,3
2010,2,ARUNACHAL PRADESH,12,LOWER DIBANG VALLEY,1215,health_care,2
2010,9,HARYANA,6,MEWAT,620,health_care,2
2010,3,KARNATAKA,29,KODAGU,2925,education,3
2010,4,PUNJAB,3,HOSHIARPUR,305,donations,4
2010,2,PUNJAB,3,HOSHIARPUR,305,donations,4
