YEAR,States/Union Territory,Name of the District,Number of Sub Centres,Number of PHCs,Number of CHCs,Number of Sub Divisional Hospitals,Number of District Hospitals,Total Number of HealthCare Units
2017-2018,A & N Island,Nicobar,41,4,1,0,1,47
2017-2018,A & N Island,North & Middle Andaman,43,8,2,0,1,54
2017-2018,A & N Island,South Andaman,39,10,1,0,1,51
2017-2018,A & N Island,Total,123,22,4,0,3,152
2017-2018,Andhra Pradesh,Anantapur,609,80,15,3,0,707
2017-2018,Andhra Pradesh,Chittoor,653,94,12,6,1,766
2017-2018,Andhra Pradesh,Kadapa,462,70,12,1,1,546
2017-2018,Andhra Pradesh,East Godavari,837,119,26,3,1,986
2017-2018,Andhra Pradesh,Guntur,689,82,17,2,1,791
2017-2018,Andhra Pradesh,Krishna,609,81,12,2,1,705
2017-2018,Andhra Pradesh,Kurnool,576,83,18,1,1,679
2017-2018,Andhra Pradesh,Nellore,481,74,14,2,0,571
2017-2018,Andhra Pradesh,Prakasam,555,85,14,3,0,657
2017-2018,Andhra Pradesh,Srikakulam,488,76,16,2,0,582
2017-2018,Andhra Pradesh,Visakhapatnam,573,86,11,2,0,672
2017-2018,Andhra Pradesh,Vizianagaram,470,66,11,1,1,549
2017-2018,Andhra Pradesh,West Godavari,657,79,15,3,1,755
2017-2018,Andhra Pradesh,Total,7659,1075,193,31,8,8966
2017-2018,Arunachal Pradesh,Anjaw,44,7,5,0,1,57
2017-2018,Arunachal Pradesh,Changlang,35,8,5,0,1,49
2017-2018,Arunachal Pradesh,Dibang Valley,10,1,0,0,1,12
2017-2018,Arunachal Pradesh,East Kameng,51,11,3,0,1,66
2017-2018,Arunachal Pradesh,East Siang,40,15,5,0,1,61
2017-2018,Arunachal Pradesh,Lohit,29,9,5,0,1,44
2017-2018,Arunachal Pradesh,Lower Dibang Valley,19,6,4,0,1,30
2017-2018,Arunachal Pradesh,Lower Subansiri,35,8,3,0,1,47
2017-2018,Arunachal Pradesh,Longding,18,3,3,0,1,25
2017-2018,Arunachal Pradesh,Papum Pare,56,14,3,0,2,75
2017-2018,Arunachal Pradesh,Tawang,15,5,2,0,1,23
2017-2018,Arunachal Pradesh,Tirap,18,8,1,0,1,28
2017-2018,Arunachal Pradesh,Upper Siang,14,2,4,0,1,21
2017-2018,Arunachal Pradesh,Upper Subansiri,58,15,5,0,1,79
2017-2018,Arunachal Pradesh,West Kameng,26,5,5,0,1,37
2017-2018,Arunachal Pradesh,West Siang,62,13,7,0,1,83
2017-2018,Arunachal Pradesh,Kurug Kumey,58,13,3,0,1,75
2017-2018,Arunachal Pradesh,Total,588,143,63,0,18,812
2017-2018,Assam,Barpeta,264,51,6,1,1,323
2017-2018,Assam,Bongaigaon,84,30,3,0,1,118
2017-2018,Assam,Baksa,157,41,5,0,1,204
2017-2018,Assam,Cachar,270,33,5,0,1,309
2017-2018,Assam,Chirang,86,25,3,0,1,115
2017-2018,Assam,Darrang,163,30,6,0,1,200
2017-2018,Assam,Dhemaji,98,22,4,0,1,125
2017-2018,Assam,Dhubri,246,44,8,2,1,301
2017-2018,Assam,Dibrugarh,231,30,7,0,0,268
2017-2018,Assam,Goalpara,151,41,5,0,1,198
2017-2018,Assam,Golaghat,144,40,4,1,1,190
2017-2018,Assam,Hailakandi,105,13,3,0,1,122
2017-2018,Assam,Jorhat,144,44,5,2,0,195
2017-2018,Assam,Kamrup (Rural),280,71,11,1,1,364
2017-2018,Assam,Kamrup (Metro),51,25,3,0,1,80
2017-2018,Assam,Karbi Anglong,145,46,5,1,1,198
2017-2018,Assam,Karimganj,218,29,5,0,1,253
2017-2018,Assam,Kokrajhar,161,45,4,1,1,212
2017-2018,Assam,Lakhimpur,156,30,8,1,1,196
2017-2018,Assam,Morigaon,123,36,5,0,1,165
2017-2018,Assam,Nagaon,354,80,15,0,1,450
2017-2018,Assam,Nalbari,121,47,9,0,1,178
2017-2018,Assam,N.C.HILLS (Dima Hasao),65,11,2,0,1,79
2017-2018,Assam,Sivasagar,219,45,4,2,1,271
2017-2018,Assam,Sonitpur,275,58,7,2,1,343
2017-2018,Assam,Tinsukia,164,23,6,0,1,194
2017-2018,Assam,Udalguri,146,24,3,0,1,174
2017-2018,Assam,Total,4621,1014,151,14,25,5825
2017-2018,Bihar,Araria,199,39,2,1,1,242
2017-2018,Bihar,Aurangabad,216,68,6,1,1,292
2017-2018,Bihar,Arwal,64,33,0,0,1,98
2017-2018,Bihar,Banka,265,42,4,0,1,312
2017-2018,Bihar,Begusarai,287,40,2,4,1,334
2017-2018,Bihar,Bhagalpur,258,70,4,2,1,335
2017-2018,Bihar,Bhojpur,302,40,4,2,1,349
2017-2018,Bihar,Buxar,161,39,0,1,1,202
2017-2018,Bihar,Darbhanga,259,62,8,1,0,330
2017-2018,Bihar,Gaya,440,63,10,2,1,516
2017-2018,Bihar,Gopalganj,186,31,8,1,1,227
2017-2018,Bihar,Jamui,279,34,6,0,1,320
2017-2018,Bihar,Jahanabad,92,37,2,0,1,132
2017-2018,Bihar,Kaimur (Bhabua),197,28,4,1,1,231
2017-2018,Bihar,Katihar,345,59,4,2,1,411
2017-2018,Bihar,Khagaria,171,32,1,0,1,205
2017-2018,Bihar,Kishanganj,136,16,1,0,1,154
2017-2018,Bihar,Lakhisarai,102,19,1,0,1,123
2017-2018,Bihar,Madhepura,272,46,1,1,1,321
2017-2018,Bihar,Madhubani,429,90,4,4,1,528
2017-2018,Bihar,Munger,154,28,2,2,1,187
2017-2018,Bihar,Muzaffarpur,480,92,9,0,1,582
2017-2018,Bihar,Nalanda,374,63,3,2,1,443
2017-2018,Bihar,Nawada,325,48,2,1,1,377
2017-2018,Bihar,Pashchim Champaran,368,49,2,2,1,422
2017-2018,Bihar,Patna,387,90,4,4,0,485
2017-2018,Bihar,Purba Champaran,327,70,12,3,1,413
2017-2018,Bihar,Purnia,334,52,2,3,1,392
2017-2018,Bihar,Rohtas,186,47,6,2,1,242
2017-2018,Bihar,Saharsa,152,35,1,1,1,190
2017-2018,Bihar,Samastipur,362,59,8,4,1,434
2017-2018,Bihar,Saran,413,57,9,2,1,482
2017-2018,Bihar,Sheikhpura,85,23,1,0,1,110
2017-2018,Bihar,Sheohar,29,15,0,0,1,45
2017-2018,Bihar,Sitamarhi,212,50,5,2,1,270
2017-2018,Bihar,Siwan,367,61,9,1,1,439
2017-2018,Bihar,Supaul,178,31,2,1,1,213
2017-2018,Bihar,Vaishali,336,44,2,2,1,385
2017-2018,Bihar,Total,9729,1802,151,55,36,11773
2017-2018,Chandigarh,Total,17,3,2,1,1,24
2017-2018,Chhattisgarh,Bastar,244,42,7,1,1,295
2017-2018,Chhattisgarh,Balod,196,30,6,0,1,233
2017-2018,Chhattisgarh,Balodabazar,215,31,5,1,1,253
2017-2018,Chhattisgarh,Balrampur,193,28,5,1,1,228
2017-2018,Chhattisgarh,Bemetara,126,21,3,1,1,152
2017-2018,Chhattisgarh,Bijapur,93,10,5,0,1,109
2017-2018,Chhattisgarh,Bilaspur,274,55,8,0,1,338
2017-2018,Chhattisgarh,Dantewada,76,11,4,0,1,92
2017-2018,Chhattisgarh,Dhamtari,180,23,3,1,1,208
2017-2018,Chhattisgarh,Durg,128,21,8,1,1,159
2017-2018,Chhattisgarh,Gariyaband,198,16,5,0,1,220
2017-2018,Chhattisgarh,Janjgir-Champa,271,46,10,1,1,329
2017-2018,Chhattisgarh,Jashpur,258,34,8,1,1,302
2017-2018,Chhattisgarh,Kanker,248,34,8,1,1,292
2017-2018,Chhattisgarh,Kawardha,145,25,5,0,1,176
2017-2018,Chhattisgarh,Kondagaon,173,22,5,0,1,201
2017-2018,Chhattisgarh,Korba,259,38,5,0,1,303
2017-2018,Chhattisgarh,Korea,189,30,5,0,1,225
2017-2018,Chhattisgarh,Mahasamund,222,30,5,0,1,258
2017-2018,Chhattisgarh,Mungeli,120,28,3,0,1,152
2017-2018,Chhattisgarh,Narayanpur,58,8,1,0,1,68
2017-2018,Chhattisgarh,Raigarh,338,53,9,2,0,402
2017-2018,Chhattisgarh,Raipur,167,30,8,1,1,207
2017-2018,Chhattisgarh,Rajnandgaon,316,48,9,1,0,374
2017-2018,Chhattisgarh,Sukma,86,13,2,0,1,102
2017-2018,Chhattisgarh,Surajpur,215,38,7,0,1,261
2017-2018,Chhattisgarh,Surguja,198,25,6,0,0,229
2017-2018,Chhattisgarh,Total,5186,790,155,13,24,6168
2017-2018,Dadra & Nagar Haveli,Total,56,11,0,1,1,69
2017-2018,Daman & Diu,Daman,20,3,1,0,1,25
2017-2018,Daman & Diu,Diu,6,1,1,0,1,9
2017-2018,Daman & Diu,Total,26,4,2,0,2,34
2017-2018,Delhi,East,1,0,0,0,2,3
2017-2018,Delhi,North-East,1,0,0,0,1,2
2017-2018,Delhi,North,5,0,0,0,3,8
2017-2018,Delhi,North-West,3,0,0,1,5,9
2017-2018,Delhi,West,0,0,0,0,7,7
2017-2018,Delhi,South-West,11,3,0,1,3,18
2017-2018,Delhi,South,5,2,0,0,2,9
2017-2018,Delhi,Central,0,0,0,4,9,13
2017-2018,Delhi,New Delhi,0,0,0,3,7,10
2017-2018,Delhi,South-East,0,0,0,0,2,2
2017-2018,Delhi,Shahdara,0,0,0,1,6,7
2017-2018,Delhi,Total,26,5,0,10,47,88
2017-2018,Goa,North Goa,126,13,2,0,1,142
2017-2018,Goa,South Goa,86,9,2,1,1,99
2017-2018,Goa,Total,212,22,4,1,2,241
2017-2018,Gujarat,Ahmedabad,258,39,10,1,0,308
2017-2018,Gujarat,Amreli,245,41,12,3,1,302
2017-2018,Gujarat,Anand,274,50,12,0,1,337
2017-2018,Gujarat,Arvali (Modasa),215,35,10,1,0,261
2017-2018,Gujarat,Banas Kantha (Palanpur),745,98,24,3,1,871
2017-2018,Gujarat,Bharuch,237,38,9,0,1,285
2017-2018,Gujarat,Bhavnagar,300,44,13,2,0,359
2017-2018,Gujarat,Botad,88,15,5,0,1,109
2017-2018,Gujarat,Chhotaudepur,310,45,10,0,1,366
2017-2018,Gujarat,Dahod,637,85,13,1,1,737
2017-2018,Gujarat,Dang (Ahva),68,9,3,0,1,81
2017-2018,Gujarat,Devbhumi Dwaraka,161,19,4,1,1,186
2017-2018,Gujarat,Gandhinagar,171,26,9,1,0,207
2017-2018,Gujarat,Gir Somnath (Veraval),172,25,8,0,1,206
2017-2018,Gujarat,Jamnagar,212,31,7,0,0,250
2017-2018,Gujarat,Junagadh,237,38,10,0,0,285
2017-2018,Gujarat,Kachchh (Bhuj),435,59,15,2,0,511
2017-2018,Gujarat,Kheda (Nadiyad),311,51,14,1,1,378
2017-2018,Gujarat,Mahesana,288,56,14,2,1,361
2017-2018,Gujarat,Mahisagar (Lunavada),224,33,5,1,1,264
2017-2018,Gujarat,Morbi,196,27,6,1,1,231
2017-2018,Gujarat,Narmada (Rajpipla),174,25,3,1,1,204
2017-2018,Gujarat,Navsari,296,44,10,2,1,353
2017-2018,Gujarat,Panch Mahals (Godhra),299,48,11,0,1,359
2017-2018,Gujarat,Patan,322,38,15,1,0,376
2017-2018,Gujarat,Porbandar,85,11,4,0,1,101
2017-2018,Gujarat,Rajkot,337,47,12,4,1,401
2017-2018,Gujarat,Sabar Kantha (Himatnagar),276,44,12,1,0,333
2017-2018,Gujarat,Surat,394,55,13,1,0,463
2017-2018,Gujarat,Surendranagar,343,44,12,2,1,402
2017-2018,Gujarat,Tapi (Vyara),241,35,5,0,1,282
2017-2018,Gujarat,Vadodara,242,42,10,0,1,295
2017-2018,Gujarat,Valsad,363,45,11,1,0,420
2017-2018,Gujarat,Total,9156,1342,331,33,22,10884
2017-2018,Haryana,Ambala,104,18,4,2,1,129
2017-2018,Haryana,Bhiwani,214,42,9,4,1,270
2017-2018,Haryana,Faridabad,61,14,2,1,1,79
2017-2018,Haryana,Fatehabad,131,18,4,1,1,155
2017-2018,Haryana,Gurgaon,75,13,3,3,1,95
2017-2018,Haryana,Hisar,198,35,8,2,1,244
2017-2018,Haryana,Jhajjar,123,28,6,2,1,160
2017-2018,Haryana,Jind,162,28,7,1,1,199
2017-2018,Haryana,Kaithal,143,23,6,0,1,173
2017-2018,Haryana,Karnal,146,25,6,1,0,178
2017-2018,Haryana,Kurukshetra,117,21,5,0,1,144
2017-2018,Haryana,Mewat,84,18,3,0,1,106
2017-2018,Haryana,Mohidergarh (Narnaul),135,25,7,1,1,169
2017-2018,Haryana,Palwal,95,20,4,0,1,120
2017-2018,Haryana,Panchkula,46,10,2,0,1,59
2017-2018,Haryana,Panipat,89,18,4,0,1,112
2017-2018,Haryana,Rewari,112,18,5,1,1,137
2017-2018,Haryana,Rohtak,116,21,5,2,1,145
2017-2018,Haryana,Sirsa,151,26,8,0,1,186
2017-2018,Haryana,Sonipat,161,35,6,1,1,204
2017-2018,Haryana,Yamunanagar,113,18,6,1,1,139
2017-2018,Haryana,Total,2576,474,110,23,20,3203
2017-2018,Himachal Pradesh,Bilaspur,113,36,9,1,1,160
2017-2018,Himachal Pradesh,Chamba,177,42,6,5,1,231
2017-2018,Himachal Pradesh,Hamirpur,151,29,3,3,1,187
2017-2018,Himachal Pradesh,Kangra,438,87,11,13,1,550
2017-2018,Himachal Pradesh,Kinnaur,34,21,4,1,1,61
2017-2018,Himachal Pradesh,Kullu,99,21,3,5,1,129
2017-2018,Himachal Pradesh,Lahul & Spiti,36,16,3,0,1,56
2017-2018,Himachal Pradesh,Mandi,317,73,13,9,1,413
2017-2018,Himachal Pradesh,Shimla,247,99,12,10,1,369
2017-2018,Himachal Pradesh,Sirmaur,147,37,4,4,1,193
2017-2018,Himachal Pradesh,Solan,178,35,5,4,1,223
2017-2018,Himachal Pradesh,Una,134,22,6,3,1,166
2017-2018,Himachal Pradesh,Total,2071,518,79,58,12,2738
2017-2018,Jammu & Kashmir,Anantanag,149,40,5,0,1,195
2017-2018,Jammu & Kashmir,Badgam,145,50,9,0,1,205
2017-2018,Jammu & Kashmir,Bandipora,72,13,3,0,1,89
2017-2018,Jammu & Kashmir,Baramulla,188,54,6,0,1,249
2017-2018,Jammu & Kashmir,Doda,105,33,3,0,1,142
2017-2018,Jammu & Kashmir,Ganderbal,58,19,1,0,1,79
2017-2018,Jammu & Kashmir,Jammu,204,45,8,0,2,259
2017-2018,Jammu & Kashmir,Kargil,128,16,4,0,1,149
2017-2018,Jammu & Kashmir,Kathua,184,35,5,0,1,225
2017-2018,Jammu & Kashmir,Kishtwar,85,16,1,0,1,103
2017-2018,Jammu & Kashmir,Kulgam,123,28,3,0,1,155
2017-2018,Jammu & Kashmir,Kupwara,228,39,7,0,1,275
2017-2018,Jammu & Kashmir,Leh,113,16,3,0,1,133
2017-2018,Jammu & Kashmir,Ramban,93,19,3,0,1,116
2017-2018,Jammu & Kashmir,Reasi,111,22,2,0,1,136
2017-2018,Jammu & Kashmir,Pulwama,100,36,3,0,1,140
2017-2018,Jammu & Kashmir,Poonch,149,32,3,0,1,185
2017-2018,Jammu & Kashmir,Rajouri,208,37,7,0,1,253
2017-2018,Jammu & Kashmir,Samba,90,13,3,0,1,107
2017-2018,Jammu & Kashmir,Shopian,56,10,2,0,1,69
2017-2018,Jammu & Kashmir,Srinagar,63,29,1,0,1,94
2017-2018,Jammu & Kashmir,Udhampur,153,35,2,0,1,191
2017-2018,Jammu & Kashmir,Total,2805,637,84,0,23,3549
2017-2018,Jharkhand,Bokaro,116,16,8,3,1,144
2017-2018,Jharkhand,Chatra,93,11,6,0,1,111
