STATE CODE,DISTRICT CODE,INDIA/STATE/UT/DISTRICT,TRU,P_Persons ,P_Males,P_Females,L_Persons,L_Males,L_Females,PL_Persons,PL_Males,PL_Females
0,0,INDIA,Total,1210193422,623724248,586469174,778454120,444203762,334250358,64,71,57
0,0,INDIA,Rural,833087662,427917052,405170610,493020878,288047480,204973398,59,67,51
0,0,INDIA,Urban,377105760,195807196,181298564,285433242,156156282,129276960,76,80,71
1,0,JAMMU & KASHMIR,Total,12548926,6665561,5883365,7245053,4370604,2874449,58,66,49
1,0,JAMMU & KASHMIR,Rural,9134820,4809619,4325201,4898008,2983896,1914112,54,62,44
1,0,JAMMU & KASHMIR,Urban,3414106,1855942,1558164,2347045,1386708,960337,69,75,62
1,1,Kupwara,Total,875564,475126,400438,454076,284397,169679,52,60,42
1,1,Kupwara,Rural,776322,418370,357952,393975,245342,148633,51,59,42
1,1,Kupwara,Urban,99242,56756,42486,60101,39055,21046,61,69,50
1,2,Badgam,Total,755331,400583,354748,350707,216720,133987,46,54,38
1,2,Badgam,Rural,666620,354419,312201,299932,186685,113247,45,53,36
1,2,Badgam,Urban,88711,46164,42547,50775,30035,20740,57,65,49
1,3,Leh(Ladakh),Total,147104,92907,54197,108885,77619,31266,74,84,58
1,3,Leh(Ladakh),Rural,83901,44605,39296,53868,32724,21144,64,73,54
1,3,Leh(Ladakh),Urban,63203,48302,14901,55017,44895,10122,87,93,68
1,4,Kargil,Total,143388,80791,62597,91604,61123,30481,64,76,49
1,4,Kargil,Rural,130635,74130,56505,82582,55680,26902,63,75,48
1,4,Kargil,Urban,12753,6661,6092,9022,5443,3579,71,82,59
1,5,Punch,Total,476820,252240,224580,269744,168435,101309,57,67,45
1,5,Punch,Rural,438176,230087,208089,239227,149524,89703,55,65,43
1,5,Punch,Urban,38644,22153,16491,30517,18911,11606,79,85,70
1,6,Rajouri,Total,619266,332424,286842,343196,210006,133190,55,63,46
1,6,Rajouri,Rural,575332,305253,270079,307501,186441,121060,53,61,45
1,6,Rajouri,Urban,43934,27171,16763,35695,23565,12130,81,87,72
1,7,Kathua,Total,615711,327953,287758,393611,231417,162194,64,71,56
1,7,Kathua,Rural,527176,280639,246537,324997,192840,132157,62,69,54
1,7,Kathua,Urban,88535,47314,41221,68614,38577,30037,77,82,73
1,8,Baramula,Total,1015503,542171,473332,571348,352289,219059,56,65,46
1,8,Baramula,Rural,840948,448357,392591,454730,283211,171519,54,63,44
1,8,Baramula,Urban,174555,93814,80741,116618,69078,47540,67,74,59
1,9,Bandipore,Total,385099,201531,183568,187789,116070,71719,49,58,39
1,9,Bandipore,Rural,320070,166445,153625,148807,91711,57096,46,55,37
1,9,Bandipore,Urban,65029,35086,29943,38982,24359,14623,60,69,49
1,10,Srinagar,Total,1250173,665789,584384,780729,455053,325676,62,68,56
1,10,Srinagar,Rural,15928,8220,7708,7620,4645,2975,48,57,39
1,10,Srinagar,Urban,1234245,657569,576676,773109,450408,322701,63,68,56
1,11,Ganderbal,Total,297003,158900,138103,147835,93222,54613,50,59,40
1,11,Ganderbal,Rural,250203,134064,116139,121559,77395,44164,49,58,38
1,11,Ganderbal,Urban,46800,24836,21964,26276,15827,10449,56,64,48
1,12,Pulwama,Total,570060,297988,272072,307088,184609,122479,54,62,45
1,12,Pulwama,Rural,491370,254609,236761,258048,154250,103798,53,61,44
1,12,Pulwama,Urban,78690,43379,35311,49040,30359,18681,62,70,53
1,13,Shupiyan,Total,265960,136302,129658,141038,82587,58451,53,61,45
1,13,Shupiyan,Rural,251010,128341,122669,130771,76637,54134,52,60,44
1,13,Shupiyan,Urban,14950,7961,6989,10267,5950,4317,69,75,62
1,14,Anantnag,Total,1069749,552203,517546,555453,325868,229585,52,59,44
1,14,Anantnag,Rural,791237,407278,383959,384704,227325,157379,49,56,41
1,14,Anantnag,Urban,278512,144925,133587,170749,98543,72206,61,68,54
1,15,Kulgam,Total,423181,216873,206308,212848,126668,86180,50,58,42
